Task;M1Time;M2Time;M3Time
task160;2;9;14
task161;13;10;13
task162;1;8;17
task163;4;9;10
task164;10;7;10
task165;4;1;15
task166;15;10;17
task167;22;8;12
task168;20;8;13
task169;3;7;15
task170;2;9;14
task171;13;10;13
task172;1;8;17
task173;4;9;10
task174;10;7;10
task175;4;1;15
task176;15;10;17
task177;22;8;12
task178;20;8;13
task179;3;7;15
task180;2;9;14
task181;13;10;13
task182;1;8;17
task183;4;9;10
task184;10;7;10
task185;4;1;15
task186;15;10;17
task187;22;8;12
task188;20;8;13
task189;3;7;15
task190;2;9;14
task191;13;10;13
task192;1;8;17
task193;4;9;10
task194;10;7;10
task195;4;1;15
task196;15;10;17
task197;22;8;12
task198;20;8;13
task199;3;7;15
task200;2;9;14
task201;13;10;13
task202;1;8;17
task203;4;9;10
task204;10;7;10
task205;4;1;15
task206;15;10;17
task207;22;8;12
task208;20;8;13
task209;3;7;15
task210;2;9;14
task211;13;10;13
task212;1;8;17
task213;4;9;10
task214;10;7;10
task215;4;1;15
task216;15;10;17
task217;22;8;12
task218;20;8;13
task219;3;7;15
task220;2;9;14
task221;13;10;13
task222;1;8;17
task223;4;9;10
task224;10;7;10
task225;4;1;15
task226;15;10;17
task227;22;8;12
task228;20;8;13
task229;3;7;15
task230;2;9;14
task231;13;10;13
task232;1;8;17
task233;4;9;10
task234;10;7;10
task235;4;1;15
task236;15;10;17
task237;22;8;12
task238;20;8;13
task239;3;7;15
task240;2;9;14
task241;13;10;13
task242;1;8;17
task243;4;9;10
task244;10;7;10
task245;4;1;15
task246;15;10;17
task247;22;8;12
task248;20;8;13
task249;3;7;15
task250;2;9;14
task251;13;10;13
task252;1;8;17
task253;4;9;10
task254;10;7;10
task255;4;1;15
task256;15;10;17
task257;22;8;12
task258;20;8;13
task259;3;7;15
task260;2;9;14
task261;13;10;13
task262;1;8;17
task263;4;9;10
task264;10;7;10
task265;4;1;15
task266;15;10;17
task267;22;8;12
task268;20;8;13
task269;3;7;15
task270;2;9;14
task271;13;10;13
task272;1;8;17
task273;4;9;10
task274;10;7;10
task275;4;1;15
task276;15;10;17
task277;22;8;12
task278;20;8;13
task279;3;7;15
task280;2;9;14
task281;13;10;13
task282;1;8;17
task283;4;9;10
task284;10;7;10
task285;4;1;15
task286;15;10;17
task287;22;8;12
task288;20;8;13
task289;3;7;15
task290;2;9;14
task291;13;10;13
task292;1;8;17
task293;4;9;10
task294;10;7;10
task295;4;1;15
task296;15;10;17
task297;22;8;12
task298;20;8;13
task299;3;7;15
task300;2;9;14
task301;13;10;13
task302;1;8;17
task303;4;9;10
task304;10;7;10
task305;4;1;15
task306;15;10;17
task307;22;8;12
task308;20;8;13
task309;3;7;15
task310;2;9;14
task311;13;10;13
task312;1;8;17
task313;4;9;10
task314;10;7;10
task315;4;1;15
task316;15;10;17
task317;22;8;12
task318;20;8;13
task319;3;7;15
task320;2;9;14
task321;13;10;13
task322;1;8;17
task323;4;9;10
task324;10;7;10
task325;4;1;15
task326;15;10;17
task327;22;8;12
task328;20;8;13
task329;3;7;15
task330;2;9;14
task331;13;10;13
task332;1;8;17
task333;4;9;10
task334;10;7;10
task335;4;1;15
task336;15;10;17
task337;22;8;12
task338;20;8;13
task339;3;7;15
task340;2;9;14
task341;13;10;13
task342;1;8;17
task343;4;9;10
task344;10;7;10
task345;4;1;15
task346;15;10;17
task347;22;8;12
task348;20;8;13
task349;3;7;15
task350;2;9;14
task351;13;10;13
task352;1;8;17
task353;4;9;10
task354;10;7;10
task355;4;1;15
task356;15;10;17
task357;22;8;12
task358;20;8;13
task359;3;7;15
task360;2;9;14
task361;13;10;13
task362;1;8;17
task363;4;9;10
task364;10;7;10
task365;4;1;15
task366;15;10;17
task367;22;8;12
task368;20;8;13
task369;3;7;15
task370;2;9;14
task371;13;10;13
task372;1;8;17
task373;4;9;10
task374;10;7;10
task375;4;1;15
task376;15;10;17
task377;22;8;12
task378;20;8;13
task379;3;7;15
task380;2;9;14
task381;13;10;13
task382;1;8;17
task383;4;9;10
task384;10;7;10
task385;4;1;15
task386;15;10;17
task387;22;8;12
task388;20;8;13
task389;3;7;15
task390;2;9;14
task391;13;10;13
task392;1;8;17
task393;4;9;10
task394;10;7;10
task395;4;1;15
task396;15;10;17
task397;22;8;12
task398;20;8;13
task399;3;7;15
task400;2;9;14
task401;13;10;13
task402;1;8;17
task403;4;9;10
task404;10;7;10
task405;4;1;15
task406;15;10;17
task407;22;8;12
task408;20;8;13
task409;3;7;15
task410;2;9;14
task411;13;10;13
task412;1;8;17
task413;4;9;10
task414;10;7;10
task415;4;1;15
task416;15;10;17
task417;22;8;12
task418;20;8;13
task419;3;7;15
task420;2;9;14
task421;13;10;13
task422;1;8;17
task423;4;9;10
task424;10;7;10
task425;4;1;15
task426;15;10;17
task427;22;8;12
task428;20;8;13
task429;3;7;15
task430;2;9;14
task431;13;10;13
task432;1;8;17
task433;4;9;10
task434;10;7;10
task435;4;1;15
task436;15;10;17
task437;22;8;12
task438;20;8;13
task439;3;7;15
task440;2;9;14
task441;13;10;13
task442;1;8;17
task443;4;9;10
task444;10;7;10
task445;4;1;15
task446;15;10;17
task447;22;8;12
task448;20;8;13
task449;3;7;15
task450;2;9;14
task451;13;10;13
task452;1;8;17
task453;4;9;10
task454;10;7;10
task455;4;1;15
task456;15;10;17
task457;22;8;12
task458;20;8;13
task459;3;7;15
task460;2;9;14
task461;13;10;13
task462;1;8;17
task463;4;9;10
task464;10;7;10
task465;4;1;15
task466;15;10;17
task467;22;8;12
task468;20;8;13
task469;3;7;15
task470;2;9;14
task471;13;10;13
task472;1;8;17
task473;4;9;10
task474;10;7;10
task475;4;1;15
task476;15;10;17
task477;22;8;12
task478;20;8;13
task479;3;7;15
task480;2;9;14
task481;13;10;13
task482;1;8;17
task483;4;9;10
task484;10;7;10
task485;4;1;15
task486;15;10;17
task487;22;8;12
task488;20;8;13
task489;3;7;15
task490;2;9;14
task491;13;10;13
task492;1;8;17
task493;4;9;10
task494;10;7;10
task495;4;1;15
task496;15;10;17
task497;22;8;12
task498;20;8;13
task499;3;7;15
task500;2;9;14
task501;13;10;13
task502;1;8;17
task503;4;9;10
task504;10;7;10
task505;4;1;15
task506;15;10;17
task507;22;8;12
task508;20;8;13
task509;3;7;15
task510;2;9;14
task511;13;10;13
task512;1;8;17
task513;4;9;10
task514;10;7;10
task515;4;1;15
task516;15;10;17
task517;22;8;12
task518;20;8;13
task519;3;7;15
task520;2;9;14
task521;13;10;13
task522;1;8;17
task523;4;9;10
task524;10;7;10
task525;4;1;15
task526;15;10;17
task527;22;8;12
task528;20;8;13
task529;3;7;15
task530;2;9;14
task531;13;10;13
task532;1;8;17
task533;4;9;10
task534;10;7;10
task535;4;1;15
task536;15;10;17
task537;22;8;12
task538;20;8;13
task539;3;7;15
task540;2;9;14
task541;13;10;13
task542;1;8;17
task543;4;9;10
task544;10;7;10
task545;4;1;15
task546;15;10;17
task547;22;8;12
task548;20;8;13
task549;3;7;15
task550;2;9;14
task551;13;10;13
task552;1;8;17
task553;4;9;10
task554;10;7;10
task555;4;1;15
task556;15;10;17
task557;22;8;12
task558;20;8;13
task559;3;7;15
task560;2;9;14
task561;13;10;13
task562;1;8;17
task563;4;9;10
task564;10;7;10
task565;4;1;15
task566;15;10;17
task567;22;8;12
task568;20;8;13
task569;3;7;15
task570;2;9;14
task571;13;10;13
task572;1;8;17
task573;4;9;10
task574;10;7;10
task575;4;1;15
task576;15;10;17
task577;22;8;12
task578;20;8;13
task579;3;7;15
task580;2;9;14
task581;13;10;13
task582;1;8;17
task583;4;9;10
task584;10;7;10
task585;4;1;15
task586;15;10;17
task587;22;8;12
task588;20;8;13
task589;3;7;15
task590;2;9;14
task591;13;10;13
task592;1;8;17
task593;4;9;10
task594;10;7;10
task595;4;1;15
task596;15;10;17
task597;22;8;12
task598;20;8;13
task599;3;7;15
task600;2;9;14
task601;13;10;13
task602;1;8;17
task603;4;9;10
task604;10;7;10
task605;4;1;15
task606;15;10;17
task607;22;8;12
task608;20;8;13
task609;3;7;15
task610;2;9;14
task611;13;10;13
task612;1;8;17
task613;4;9;10
task614;10;7;10
task615;4;1;15
task616;15;10;17
task617;22;8;12
task618;20;8;13
task619;3;7;15
task620;2;9;14
task621;13;10;13
task622;1;8;17
task623;4;9;10
task624;10;7;10
task625;4;1;15
task626;15;10;17
task627;22;8;12
task628;20;8;13
task629;3;7;15
task630;2;9;14
task631;13;10;13
task632;1;8;17
task633;4;9;10
task634;10;7;10
task635;4;1;15
task636;15;10;17
task637;22;8;12
task638;20;8;13
task639;3;7;15
task640;2;9;14
task641;13;10;13
task642;1;8;17
task643;4;9;10
task644;10;7;10
task645;4;1;15
task646;15;10;17
task647;22;8;12
task648;20;8;13
task649;3;7;15
task650;2;9;14
task651;13;10;13
task652;1;8;17
task653;4;9;10
task654;10;7;10
task655;4;1;15
task656;15;10;17
task657;22;8;12
task658;20;8;13
task659;3;7;15
task660;2;9;14
task661;13;10;13
task662;1;8;17
task663;4;9;10
task664;10;7;10
task665;4;1;15
task666;15;10;17
task667;22;8;12
task668;20;8;13
task669;3;7;15
task670;2;9;14
task671;13;10;13
task672;1;8;17
task673;4;9;10
task674;10;7;10
task675;4;1;15
task676;15;10;17
task677;22;8;12
task678;20;8;13
task679;3;7;15
task680;2;9;14
task681;13;10;13
task682;1;8;17
task683;4;9;10
task684;10;7;10
task685;4;1;15
task686;15;10;17
task687;22;8;12
task688;20;8;13
task689;3;7;15
task690;2;9;14
task691;13;10;13
task692;1;8;17
task693;4;9;10
task694;10;7;10
task695;4;1;15
task696;15;10;17
task697;22;8;12
task698;20;8;13
task699;3;7;15
task700;2;9;14
task701;13;10;13
task702;1;8;17
task703;4;9;10
task704;10;7;10
task705;4;1;15
task706;15;10;17
task707;22;8;12
task708;20;8;13
task709;3;7;15
task710;2;9;14
task711;13;10;13
task712;1;8;17
task713;4;9;10
task714;10;7;10
task715;4;1;15
task716;15;10;17
task717;22;8;12
task718;20;8;13
task719;3;7;15
task720;2;9;14
task721;13;10;13
task722;1;8;17
task723;4;9;10
task724;10;7;10
task725;4;1;15
task726;15;10;17
task727;22;8;12
task728;20;8;13
task729;3;7;15
task730;2;9;14
task731;13;10;13
task732;1;8;17
task733;4;9;10
task734;10;7;10
task735;4;1;15
task736;15;10;17
task737;22;8;12
task738;20;8;13
task739;3;7;15
task740;2;9;14
task741;13;10;13
task742;1;8;17
task743;4;9;10
task744;10;7;10
task745;4;1;15
task746;15;10;17
task747;22;8;12
task748;20;8;13
task749;3;7;15
task750;2;9;14
task751;13;10;13
task752;1;8;17
task753;4;9;10
task754;10;7;10
task755;4;1;15
task756;15;10;17
task757;22;8;12
task758;20;8;13
task759;3;7;15
task760;2;9;14
task761;13;10;13
task762;1;8;17
task763;4;9;10
task764;10;7;10
task765;4;1;15
task766;15;10;17
task767;22;8;12
task768;20;8;13
task769;3;7;15
task770;2;9;14
task771;13;10;13
task772;1;8;17
task773;4;9;10
task774;10;7;10
task775;4;1;15
task776;15;10;17
task777;22;8;12
task778;20;8;13
task779;3;7;15
task780;2;9;14
task781;13;10;13
task782;1;8;17
task783;4;9;10
task784;10;7;10
task785;4;1;15
task786;15;10;17
task787;22;8;12
task788;20;8;13
task789;3;7;15
task790;2;9;14
task791;13;10;13
task792;1;8;17
task793;4;9;10
task794;10;7;10
task795;4;1;15
task796;15;10;17
task797;22;8;12
task798;20;8;13
task799;3;7;15
task800;2;9;14
task801;13;10;13
task802;1;8;17
task803;4;9;10
task804;10;7;10
task805;4;1;15
task806;15;10;17
task807;22;8;12
task808;20;8;13
task809;3;7;15
task810;2;9;14
task811;13;10;13
task812;1;8;17
task813;4;9;10
task814;10;7;10
task815;4;1;15
task816;15;10;17
task817;22;8;12
task818;20;8;13
task819;3;7;15
task820;2;9;14
task821;13;10;13
task822;1;8;17
task823;4;9;10
task824;10;7;10
task825;4;1;15
task826;15;10;17
task827;22;8;12
task828;20;8;13
task829;3;7;15
task830;2;9;14
task831;13;10;13
task832;1;8;17
task833;4;9;10
task834;10;7;10
task835;4;1;15
task836;15;10;17
task837;22;8;12
task838;20;8;13
task839;3;7;15
task840;2;9;14
task841;13;10;13
task842;1;8;17
task843;4;9;10
task844;10;7;10
task845;4;1;15
task846;15;10;17
task847;22;8;12
task848;20;8;13
task849;3;7;15
task850;2;9;14
task851;13;10;13
task852;1;8;17
task853;4;9;10
task854;10;7;10
task855;4;1;15
task856;15;10;17
task857;22;8;12
task858;20;8;13
task859;3;7;15
task860;2;9;14
task861;13;10;13
task862;1;8;17
task863;4;9;10
task864;10;7;10
task865;4;1;15
task866;15;10;17
task867;22;8;12
task868;20;8;13
task869;3;7;15
task870;2;9;14
task871;13;10;13
task872;1;8;17
task873;4;9;10
task874;10;7;10
task875;4;1;15
task876;15;10;17
task877;22;8;12
task878;20;8;13
task879;3;7;15
task880;2;9;14
task881;13;10;13
task882;1;8;17
task883;4;9;10
task884;10;7;10
task885;4;1;15
task886;15;10;17
task887;22;8;12
task888;20;8;13
task889;3;7;15
task890;2;9;14
task891;13;10;13
task892;1;8;17
task893;4;9;10
task894;10;7;10
task895;4;1;15
task896;15;10;17
task897;22;8;12
task898;20;8;13
task899;3;7;15
task900;2;9;14
task901;13;10;13
task902;1;8;17
task903;4;9;10
task904;10;7;10
task905;4;1;15
task906;15;10;17
task907;22;8;12
task908;20;8;13
task909;3;7;15
task910;2;9;14
task911;13;10;13
task912;1;8;17
task913;4;9;10
task914;10;7;10
task915;4;1;15
task916;15;10;17
task917;22;8;12
task918;20;8;13
task919;3;7;15
task920;2;9;14
task921;13;10;13
task922;1;8;17
task923;4;9;10
task924;10;7;10
task925;4;1;15
task926;15;10;17
task927;22;8;12
task928;20;8;13
task929;3;7;15
task930;2;9;14
task931;13;10;13
task932;1;8;17
task933;4;9;10
task934;10;7;10
task935;4;1;15
task936;15;10;17
task937;22;8;12
task938;20;8;13
task939;3;7;15
task940;2;9;14
task941;13;10;13
task942;1;8;17
task943;4;9;10
task944;10;7;10
task945;4;1;15
task946;15;10;17
task947;22;8;12
task948;20;8;13
task949;3;7;15
task950;2;9;14
task951;13;10;13
task952;1;8;17
task953;4;9;10
task954;10;7;10
task955;4;1;15
task956;15;10;17
task957;22;8;12
task958;20;8;13
task959;3;7;15
task960;2;9;14
task961;13;10;13
task962;1;8;17
task963;4;9;10
task964;10;7;10
task965;4;1;15
task966;15;10;17
task967;22;8;12
task968;20;8;13
task969;3;7;15
task970;2;9;14
task971;13;10;13
task972;1;8;17
task973;4;9;10
task974;10;7;10
task975;4;1;15
task976;15;10;17
task977;22;8;12
task978;20;8;13
task979;3;7;15
task980;2;9;14
task981;13;10;13
task982;1;8;17
task983;4;9;10
task984;10;7;10
task985;4;1;15
task986;15;10;17
task987;22;8;12
task988;20;8;13
task989;3;7;15
task990;2;9;14
task991;13;10;13
task992;1;8;17
task993;4;9;10
task994;10;7;10
task995;4;1;15
task996;15;10;17
task997;22;8;12
task998;20;8;13
task999;3;7;15
task1000;2;9;14
